user_id,username,department,status,hire_date,termination_date,manager_username,device_id,location,hostname,full_name,role,total_iam_events,failed_logins,avg_risk_score,total_endpoint_alerts,critical_alerts,high_alerts,insider_threat_score
EMP11517,anita.dutt25,Human Resources,Active,2026-09-07 04:27:00,Not Terminated,manager205,DEV 75769,BRANCH OFFICE,WS-11517,Anita Dutt,Engineer,5.0,2.0,45.6,4.0,0.0,0.0,26.8
EMP12976,aayush.koshy48,Sales,Active,2023-10-03 18:58:14,Not Terminated,Unknown,Unknown,data center,VDR-12976.,Aayush Koshy,Engineer,8.0,4.0,77.875,2.0,0.0,0.0,46.9375
EMP12232,Unknown,Operations,Terminated,2025-07-23 00:00:00,2026-08-19 09:57:38,manager419,DEV43610,Unknown,WS-12232,Idika Sani,Analyst,3.0,1.0,64.33333333333333,2.0,0.0,2.0,40.166666666666664
EMP10178,tanveer.ghose11,Operations,Disabled,2025-07-12 08:34:52,2025-02-11 19:08:00,manager393,DEV22987,Head_Office,WS-10178,Tanveer Ghose,Engineer,4.0,2.0,79.25,4.0,0.0,1.0,46.625
EMP12030,urishilla.dugar5,Customer Support,Active,2021-08-01 14:51:03,Not Terminated,manager911,DEV 10085,Regional_Office,VDR-12030,Urishilla Dugar,Consultant,15.0,6.0,55.333333333333336,5.0,2.0,1.0,52.66666666666667
EMP12926,ronith.bhatti96,Sales,Active,2023-02-18 05:36:00,Not Terminated,Unknown,DEV-21629,BRANCH OFFICE,VDR-12926,Ronith Bhatti,Analyst,1.0,0.0,43.0,2.0,1.0,0.0,26.5
EMP10611,Unknown,Procurement,Active,Unknown,Not Terminated,Unknown,DEV-85534,Head Office,VDR-10611,Dhruv Cherian,Administrator,5.0,3.0,55.6,0.0,0.0,0.0,33.8
EMP10679,ira.khanna17,IT Support,Active,2020-09-24 13:32:29,Not Terminated,manager283,Unknown,Regional_Office,LPT-10679,Ira Khanna,Trainee,3.0,1.0,64.66666666666667,3.0,0.0,1.0,37.333333333333336
EMP10152,finn.vig49,Support,Disabled,2020-08-11 00:00:00,Not Terminated,manager570,DEV-97562,WAREHOUSE,VDR-10152,Finn Vig,Engineer,75.0,22.0,53.093333333333334,1.0,0.0,1.0,73.54666666666667
EMP12484,aahana.seth4,Sales,Active,Unknown,Not Terminated,manager345,DEV-38543,Head Office,VDR-12484,Aahana Seth,Engineer,6.0,3.0,38.333333333333336,2.0,1.0,0.0,30.166666666666668
EMP11025,darsh.patla51,Finance,Active,2023-10-01 01:50:28,Not Terminated,manager321,DEV 98785,regional office,LPT-11025,Darsh Patla,Manager,3.0,0.0,65.0,10.0,1.0,4.0,49.5
EMP10907,sneha.loke46,Finance,Disabled,2022-11-15 07:19:43,Not Terminated,manager675,DEV14190,work from home,VDR-10907.,Sneha Loke,Executive,3.0,1.0,67.0,5.0,0.0,2.0,41.5
EMP10254,wriddhish_arora70,Finance,Active,2021-01-30 15:41:12,Not Terminated,manager328,DEV80419,Head Office,LPT-10254,Wriddhish Arora,Consultant,4.0,0.0,49.0,3.0,0.0,1.0,27.5
EMP12416,harish.bhatia99,Legal,Active,2026-06-11 00:00:00,Not Terminated,manager695,DEV87517,Head Office,Unknown,Harish Bhatia,Engineer,8.0,1.0,53.625,3.0,0.0,1.0,31.8125
EMP12332,shravya.mand51,Human Resources,Terminated,2024-09-30 12:03:44,2026-02-03 11:37:59,unknown,DEV-39132,Regional_Office,Unknown,Shravya Mand,Consultant,3.0,1.0,40.333333333333336,3.0,0.0,1.0,25.166666666666668
EMP10346,dipta_oza8,Legal,Active,2023-08-09 00:03:30,Not Terminated,manager184,DEV 75673,Remote,VDR-10346,Dipta Oza,Officer,6.0,1.0,62.166666666666664,3.0,0.0,2.0,39.08333333333333
EMP10299,anmol.bhatt26,Procurement,Active,2026-03-09 00:00:00,Not Terminated,manager825,DEV 82102,Branch Office,VDR-10299,Anmol Bhatt,Officer,7.0,3.0,49.857142857142854,2.0,0.0,1.0,33.92857142857143
EMP12045,girik.gaba54,Innovation,Active,2022-09-12 21:06:42,Not Terminated,manager735,Unknown,head office,LPT-12045,Girik Gaba,Officer,3.0,1.0,56.0,2.0,1.0,0.0,35.0
EMP11295,utkarsh.bakshi57,Legal,Active,2021-07-25 19:18:38,Not Terminated,Unknown,DEV 63026,Head_Office,WS-11295,Utkarsh Bakshi,Analyst,3.0,1.0,34.0,4.0,1.0,0.0,24.0
EMP11357,nandini.buch11,Compliance,Active,2026-07-28 12:35:07,Not Terminated,manager284,Unknown,warehouse,LPT-11357,Nandini Buch,Director,10.0,4.0,41.2,3.0,0.0,1.0,31.6
EMP11422,rishi.contractor33,Customer Support,Active,2025-06-16 14:41:08,Not Terminated,manager144,DEV 14394,Warehouse,WS-11422,Rishi Contractor,Analyst,4.0,1.0,47.25,3.0,1.0,0.0,30.625
EMP12482,chakrika.nagar94,Marketing,Active,2022-07-21 22:31:07,Not Terminated,manager684,DEV-25608,Work_From_Home,WS-12482,Chakrika Nagar,Manager,4.0,1.0,64.25,4.0,0.0,2.0,40.125
EMP10139,isaac.dugar28,Legal,Disabled,2023-05-23 19:28:38,2023-10-18 12:32:00,manager420,DEV 54424,Unknown,Unknown,Isaac Dugar,Trainee,6.0,1.0,30.333333333333332,2.0,0.0,0.0,17.166666666666664
EMP12603,gautam.dass68,Finance,Active,2022-08-10 22:55:29,Not Terminated,manager793,DEV 97646,BRANCH OFFICE,LPT-12603,Gautam Dass,Trainee,60.0,17.0,52.733333333333334,4.0,1.0,1.0,68.36666666666667
EMP10246,rohan.dash48,Legal,Disabled,2026-06-25 00:22:00,Not Terminated,Unknown,DEV97044,Data_Center,VDR-10246,Rohan Dash,Officer,5.0,3.0,58.4,2.0,0.0,1.0,38.2
EMP10900,lohit.reddy93,Procurement,Active,2023-04-08 02:56:00,Not Terminated,manager666,DEV17956,branch office,VDR-10900,Lohit Reddy,Trainee,61.0,23.0,50.18032786885246,2.0,0.0,0.0,71.09016393442623
EMP12130,krishna.kata74,Customer Support,On Leave,2020-12-13 20:05:49,2024-09-24 00:00:00,unknown,DEV68796,Unknown,VDR-12130,Krishna Kata,Specialist,3.0,1.0,54.666666666666664,0.0,0.0,0.0,29.333333333333332
EMP11681,ayushman.varty42,Sales,Active,2023-07-04 21:58:23,Not Terminated,manager392,DEV 87635,Unknown,VDR-11681,Ayushman Varty,Executive,4.0,2.0,52.5,6.0,0.0,0.0,30.25
EMP12334,bahadurjit.sridhar62,Sales,Active,2021-11-04 05:38:50,Not Terminated,unknown,DEV27173,Unknown,WS-12334,Bahadurjit Sridhar,Consultant,4.0,0.0,36.0,2.0,0.0,0.0,18.0
EMP10889,chanchal.tank46,Marketing,Active,Unknown,Not Terminated,manager905,Unknown,head office,VDR-10889,Chanchal Tank,Specialist,3.0,0.0,36.666666666666664,2.0,1.0,0.0,23.333333333333332
EMP11268,krishna.babu43,Innovation,Active,2020-03-05 16:57:44,Not Terminated,manager370,DEV72206,HEAD OFFICE,VDR-11268,Krishna Babu,Executive,4.0,2.0,60.0,1.0,0.0,0.0,34.0
EMP11926,chatresh.varty75,Finance,Terminated,2021-01-27 19:05:07,2021-04-07 11:53:00,manager721,DEV80651,WAREHOUSE,Unknown,Chatresh Varty,Analyst,5.0,1.0,75.0,2.0,0.0,2.0,45.5
EMP11620,ira.choudhury44,R&D,Terminated,2025-09-08 00:00:00,2026-01-17 23:51:00,manager244,DEV68711,WORK FROM HOME,WS-11620,Ira Choudhury,Officer,6.0,1.0,58.166666666666664,0.0,0.0,0.0,31.083333333333332
EMP10700,charles.brar31,Call Center,Active,2020-04-27 15:25:17,Not Terminated,manager821,DEV 85543,Unknown,VDR-10700,Charles Brar,Administrator,5.0,2.0,48.8,3.0,0.0,0.0,28.4
EMP11061,ekansh.ahuja25,Marketing,Active,2025-05-31 07:55:55,Not Terminated,manager400,DEV91844,Data_Center,VDR-11061,Ekansh Ahuja,Director,5.0,1.0,43.4,6.0,1.0,1.0,31.7
EMP10485,hardik.kuruvilla24,Customer Support,Active,Unknown,Not Terminated,manager457,DEV-30889,Work From Home,VDR-10485,Hardik Kuruvilla,Manager,8.0,3.0,50.0,8.0,0.0,1.0,34.0
EMP11356,jeet.tara32,Legal,Active,2022-06-10 00:00:00,Not Terminated,manager220,Unknown,Regional Office,LPT-11356,Jeet Tara,Specialist,4.0,2.0,46.75,0.0,0.0,0.0,27.375
EMP12310,zashil.chaudhari74,Operations,Disabled,2021-07-29 21:47:57,2026-08-24 00:00:00,manager905,DEV 21473,Unknown,VDR-12310,Zashil Chaudhari,Specialist,0.0,0.0,0.0,4.0,1.0,0.0,5.0
EMP12181,hemal.kohli58,Marketing,Active,2025-04-12 00:00:00,Not Terminated,manager186,DEV 74389,WAREHOUSE,VDR-12181,Hemal Kohli,Officer,2.0,0.0,47.0,2.0,1.0,0.0,28.5
EMP10761,dayita.dasgupta48,R&D,Active,2025-11-16 00:00:00,Not Terminated,manager133,DEV 19266,WORK FROM HOME,Unknown,Dayita Dasgupta,Analyst,4.0,1.0,39.25,5.0,0.0,1.0,24.625
EMP10746,oviya.acharya25,Human Resources,Active,2025-09-13 01:27:00,Not Terminated,unknown,Unknown,Unknown,WS-10746,Oviya Acharya,Executive,70.0,26.0,47.457142857142856,4.0,1.0,1.0,83.72857142857143
EMP10321,kalpit.mody99,R&D,Active,2024-08-14 08:55:54,Not Terminated,Unknown,DEV 85066,Unknown,LPT-10321,Kalpit Mody,Officer,7.0,1.0,59.285714285714285,2.0,0.0,0.0,31.642857142857142
EMP12707,indira.pant51,Marketing,Active,2024-11-13 12:26:12,Not Terminated,manager574,DEV56397,Regional Office,VDR-12707,Indira Pant,Engineer,8.0,3.0,58.875,1.0,0.0,0.0,35.4375
EMP10188,wakeeta.srivastava97,Sales,Active,2021-01-21 17:31:44,Not Terminated,Unknown,DEV95948,Unknown,LPT-10188,Wakeeta Srivastava,Administrator,6.0,2.0,63.166666666666664,2.0,0.0,0.0,35.58333333333333
EMP10772,gagan_bhandari75,Operations,Active,2024-08-31 00:47:00,Not Terminated,manager411,DEV 97274,data center,VDR-10772,Gagan Bhandari,Consultant,78.0,27.0,51.61538461538461,2.0,0.0,0.0,79.8076923076923
EMP12496,anusha.bawa86,Supply Chain,Active,2023-02-26 10:56:13,Not Terminated,Unknown,DEV-67414,WAREHOUSE,WS-12496,Anusha Bawa,Trainee,10.0,2.0,51.6,0.0,0.0,0.0,29.8
EMP11451,arunima.dube10,Operations,Active,2025-03-05 14:42:50,Not Terminated,manager340,DEV-86864,Regional Office,VDR-11451,Arunima Dube,Trainee,4.0,1.0,67.25,0.0,0.0,0.0,35.625
EMP12354,gagan.raman49,Operations,Active,2024-12-01 00:00:00,Not Terminated,manager286,Unknown,branch office,LPT-12354,Gagan Raman,Administrator,9.0,3.0,45.55555555555556,4.0,1.0,0.0,33.77777777777778
EMP10410,onveer.om63,Supply Chain,Active,2021-03-22 22:25:57,Not Terminated,manager797,DEV32570,DATA CENTER,LPT-10410,Onveer Om,Specialist,2.0,0.0,62.0,4.0,0.0,0.0,31.0
EMP11727,bhavya.sem13,IT,On Leave,2026-04-23 20:04:58,Not Terminated,unknown,DEV35006,branch office,VDR-11727,Bhavya Sem,Consultant,6.0,5.0,55.333333333333336,4.0,0.0,0.0,37.66666666666667
EMP12852,warinder.wali82,R&D,Terminated,2022-04-19 15:11:56,2025-12-29 01:06:14,manager876,DEV27337,Unknown,LPT-12852,Warinder Wali,Administrator,8.0,3.0,35.0,4.0,0.0,2.0,29.5
EMP12216,urvashi.handa11,Customer Support,Terminated,2020-08-14 07:19:06,2023-09-10 00:00:00,manager421,DEV58305,work from home,VDR-12216,Urvashi Handa,Analyst,5.0,1.0,65.2,2.0,0.0,1.0,37.6
EMP11398,yauvani_chacko81,Human Resources,Terminated,2024-03-01 00:00:00,2024-07-10 02:35:24,manager731,DEV 37221,Unknown,LPT-11398,Yauvani Chacko,Manager,7.0,2.0,63.714285714285715,0.0,0.0,0.0,35.85714285714286
EMP11361,inaya.sridhar38,Human Resources,Active,2020-11-30 20:02:48,Not Terminated,unknown,DEV-87526,Work From Home,WS-11361,Inaya Sridhar,Consultant,5.0,1.0,44.4,3.0,1.0,1.0,32.2
EMP11657,yadavi.balay60,Sales,Active,2026-06-29 18:40:46,Not Terminated,manager852,DEV51446,Unknown,WS-11657,Yadavi Balay,Executive,4.0,2.0,48.25,3.0,1.0,0.0,33.125
EMP10051,ekbal.malhotra95,Finance,Active,2022-07-11 09:26:00,Not Terminated,manager869,DEV97012,Unknown,VDR-10051,Ekbal Malhotra,Manager,8.0,4.0,48.375,2.0,0.0,2.0,38.1875
EMP11624,bishakha_ghose98,Sales,Active,2020-09-12 00:00:00,Not Terminated,manager603,DEV-62984,Unknown,Unknown,Bishakha Ghose,Administrator,5.0,1.0,53.4,3.0,0.0,2.0,34.7
EMP10063,ira.tara4,Human Resources,Active,Unknown,Not Terminated,manager565,DEV-33819,branch office,Unknown,Ira Tara,Director,67.0,24.0,47.0,3.0,0.0,0.0,71.5
EMP12789,tamanna.kala64,Legal,Active,2021-02-03 00:00:00,Not Terminated,Unknown,DEV80063,Data_Center,VDR-12789,Tamanna Kala,Analyst,1.0,0.0,50.0,2.0,0.0,0.0,25.0
EMP12553,tanish.kurian86,IT,Disabled,2024-01-14 02:19:39,Not Terminated,manager123,DEV-68468,Remote,WS-12553,Tanish Kurian,Specialist,5.0,1.0,45.2,3.0,1.0,0.0,29.6
EMP12530,wazir.das67,Human Resources,Active,2025-07-18 00:00:00,Not Terminated,manager624,DEV 81876,Unknown,LPT-12530,Wazir Das,Officer,5.0,2.0,59.2,4.0,1.0,0.0,38.6
EMP11090,pahal.bajwa31,Legal,On Leave,2025-07-21 04:04:10,Not Terminated,manager894,Unknown,Remote,VDR-11090,Pahal Bajwa,Trainee,66.0,19.0,49.121212121212125,3.0,0.0,1.0,65.56060606060606
EMP11465,brinda.chauhan94,Customer Support,Active,2020-04-28 22:54:00,Not Terminated,manager841,DEV20031,Data Center,LPT-11465,Brinda Chauhan,Specialist,1.0,0.0,90.0,1.0,0.0,0.0,45.0
EMP11896,urmi.pall82,Finance,Terminated,2025-08-19 16:55:56,2026-02-25 13:56:11,unknown,Unknown,Data Center,WS-11896,Urmi Pall,Engineer,3.0,1.0,50.0,1.0,0.0,1.0,30.0
EMP10052,anirudh.ramanathan31,Marketing,Active,2022-01-30 16:46:59,Not Terminated,unknown,DEV 29313,Unknown,LPT-10052,Anirudh Ramanathan,Engineer,67.0,19.0,48.82089552238806,4.0,0.0,1.0,65.41044776119404
EMP12807,damyanti.wali52,Sales,Active,2023-06-06 22:34:43,Not Terminated,manager565,DEV 24606,Regional Office,LPT-12807,Damyanti Wali,Executive,8.0,5.0,29.875,2.0,0.0,0.0,24.9375
EMP12763,sanaya.kale52,Marketing,Active,2026-02-05 04:10:52,Not Terminated,manager610,DEV25578,Warehouse,LPT-12763,Sanaya Kale,Officer,4.0,3.0,52.5,2.0,0.0,0.0,32.25
EMP12551,warinder.jaggi19,Sales,Active,2020-10-15 00:00:00,Not Terminated,manager115,DEV 34073,REMOTE,LPT-12551,Warinder Jaggi,Administrator,3.0,1.0,52.666666666666664,4.0,1.0,0.0,33.33333333333333
EMP12864,pooja.choudhary68,Marketing,Active,Unknown,Not Terminated,manager864,DEV93489,Remote,LPT-12864,Pooja Choudhary,Trainee,7.0,2.0,63.857142857142854,3.0,0.0,0.0,35.92857142857143
EMP10544,harita.sura62,Human Resources,Disabled,2021-11-15 16:53:49,2023-10-31 01:43:49,Unknown,DEV 93055,Head Office,WS-10544,Harita Sura,Administrator,10.0,3.0,51.6,2.0,0.0,1.0,34.8
EMP12948,aadi.mohan96,Operations,Disabled,2022-04-22 00:00:00,2024-06-25 00:00:00,unknown,DEV-37300,Head Office,VDR-12948.,Aadi Mohan,Consultant,5.0,2.0,54.2,0.0,0.0,0.0,31.1
EMP10450,charles.mohanty2,Finance,On Leave,Unknown,Not Terminated,Unknown,Unknown,Remote,WS-10450,Charles Mohanty,Executive,5.0,2.0,65.6,2.0,0.0,0.0,36.8
EMP12515,onveer.wason58,Sales,Disabled,2022-01-13 19:36:00,2023-08-14 12:06:35,manager908,DEV60572,Unknown,WS-12515.,Onveer Wason,Manager,5.0,0.0,36.2,6.0,1.0,0.0,23.1
EMP10044,gopal.lala36,Human Resources,Active,2024-07-23 23:08:34,Not Terminated,manager128,DEV 76768,Unknown,VDR-10044,Gopal Lala,Administrator,66.0,17.0,57.65151515151515,4.0,0.0,1.0,65.82575757575758
EMP11001,aarush.prashad25,Procurement,Terminated,2020-01-27 12:19:55,2022-06-21 04:14:18,Unknown,DEV 81188,WORK FROM HOME,VDR-11001,Aarush Prashad,Executive,78.0,20.0,50.34615384615385,2.0,0.0,1.0,68.17307692307692
EMP11831,Unknown,Supply Chain,Active,2022-10-16 12:54:27,Not Terminated,unknown,DEV-66868,BRANCH OFFICE,LPT-11831,Chaaya Vasa,Engineer,5.0,1.0,48.4,2.0,1.0,0.0,31.2
EMP10829,chaman.goda59,Legal,Active,2023-12-30 07:21:46,Not Terminated,manager424,DEV-44946,Warehouse,WS-10829,Chaman Goda,Specialist,7.0,1.0,57.0,3.0,0.0,1.0,33.5
EMP10598,ekalinga.walla33,IT,Active,2021-10-10 00:00:00,Not Terminated,manager952,Unknown,Branch Office,VDR-10598,Ekalinga Walla,Consultant,11.0,1.0,55.72727272727273,3.0,0.0,1.0,32.86363636363636
EMP10408,akshay.sarraf2,Procurement,Active,2021-04-05 10:34:24,Not Terminated,manager696,DEV 24748,Warehouse,WS-10408.,Akshay Sarraf,Specialist,74.0,15.0,52.78378378378378,2.0,0.0,1.0,59.39189189189189
EMP12917,charita.mannan95,Sales,Active,Unknown,Not Terminated,manager621,DEV 46720,Remote,VDR-12917,Charita Mannan,Officer,2.0,0.0,51.0,3.0,0.0,2.0,31.5
EMP10256,naveen.bhagat32,R&D,Terminated,Unknown,2026-03-08 19:50:49,unknown,Unknown,BRANCH OFFICE,WS-10256,Naveen Bhagat,Consultant,5.0,0.0,67.2,4.0,1.0,1.0,41.6
EMP12028,neha_devan64,Supply Chain,Active,2025-04-21 14:03:42,Not Terminated,manager546,DEV81037,data center,WS-12028,Neha Devan,Officer,7.0,1.0,43.857142857142854,2.0,0.0,0.0,23.928571428571427
EMP12303,lila_srinivasan31,Finance,Active,Unknown,Not Terminated,manager330,DEV-57924,Unknown,LPT-12303,Lila Srinivasan,Administrator,4.0,2.0,30.0,2.0,0.0,0.0,19.0
EMP11837,qabil.parikh37,Sales,Active,Unknown,Not Terminated,Unknown,DEV54054,WORK FROM HOME,LPT-11837,Qabil Parikh,Specialist,5.0,1.0,33.6,1.0,0.0,0.0,18.8
EMP11702,hemang.bakshi78,Customer Support,On Leave,2025-01-30 15:19:49,Not Terminated,manager402,Unknown,Work_From_Home,VDR-11702,Hemang Bakshi,Engineer,6.0,2.0,43.5,1.0,0.0,0.0,25.75
EMP12490,laban.sridhar64,Human Resources,Terminated,2025-01-14 19:14:46,2026-04-17 04:12:42,unknown,Unknown,data center,VDR-12490,Laban Sridhar,Trainee,4.0,1.0,63.25,2.0,0.0,1.0,36.625
EMP11662,aishani.dugal36,Sales,Active,2020-05-02 08:15:44,Not Terminated,manager490,DEV68314,regional office,Unknown,Aishani Dugal,Manager,6.0,0.0,51.166666666666664,6.0,1.0,3.0,39.58333333333333
EMP10144,yashica_rao48,Human Resources,Disabled,Unknown,2026-07-14 21:05:34,manager773,Unknown,WAREHOUSE,LPT-10144,Yashica Rao,Administrator,5.0,1.0,35.4,4.0,0.0,0.0,19.7
EMP12090,vasatika.saha98,R&D,Active,2024-11-11 18:45:00,Not Terminated,manager489,DEV38061,branch office,VDR-12090,Vasatika Saha,Engineer,1.0,0.0,72.0,0.0,0.0,0.0,36.0
EMP11292,harsh.sem7,Sales,Active,2025-09-30 06:24:33,Not Terminated,manager258,DEV74920,Branch Office,VDR-11292,Harsh Sem,Officer,4.0,2.0,18.25,2.0,0.0,1.0,16.125
EMP12155,ekansh.soni57,Marketing,Disabled,Unknown,2026-02-18 14:53:11,manager371,DEV39684,Unknown,Unknown,Ekansh Soni,Director,8.0,3.0,65.0,4.0,0.0,0.0,38.5
EMP10416,arunima.tata4,Finance,Active,2023-11-19 03:16:47,Not Terminated,manager469,DEV-17553,Work From Home,LPT-10416,Arunima Tata,Engineer,3.0,1.0,51.333333333333336,2.0,0.0,1.0,30.666666666666668
EMP10929,aarini.bora51,Marketing,On Leave,2025-11-10 16:53:42,Not Terminated,Unknown,DEV65498,DATA CENTER,VDR-10929,Aarini Bora,Specialist,6.0,2.0,61.666666666666664,3.0,1.0,1.0,42.83333333333333
EMP12022,Unknown,Operations,Active,2024-08-11 00:00:00,Not Terminated,manager836,DEV 40120,warehouse,VDR-12022,Zayyan Dayal,Analyst,10.0,2.0,36.6,2.0,1.0,1.0,30.3
EMP10170,nathaniel_prakash13,Customer Support,Active,2022-11-12 06:58:17,Not Terminated,unknown,DEV 79013,work from home,VDR-10170,Nathaniel Prakash,Officer,8.0,4.0,47.5,1.0,1.0,0.0,36.75
EMP11125,indali.aggarwal48,Marketing,Disabled,2020-12-03 16:53:08,Not Terminated,manager549,DEV 80310,Data_Center,LPT-11125,Indali Aggarwal,Consultant,3.0,0.0,62.666666666666664,5.0,0.0,2.0,37.33333333333333
EMP10567,upadhriti.krishnan99,Legal,Active,2021-04-27 10:05:44,Not Terminated,manager499,DEV23622,work from home,LPT-10567,Upadhriti Krishnan,Officer,6.0,3.0,47.666666666666664,1.0,0.0,0.0,29.833333333333332
EMP11590,mahika.som71,Operations,Disabled,2020-10-03 02:35:12,2025-12-31 04:54:19,manager924,DEV32551,WORK FROM HOME,WS-11590,Mahika Som,Director,3.0,0.0,49.333333333333336,2.0,1.0,0.0,29.666666666666668
EMP12673,victor.nagar6,Finance,Disabled,Unknown,2022-06-06 09:29:39,unknown,Unknown,REGIONAL OFFICE,WS-12673,Victor Nagar,Consultant,5.0,1.0,25.8,6.0,0.0,0.0,14.9
EMP10134,sai.bedi96,Human Resources,Active,2023-11-05 07:58:01,Not Terminated,manager729,DEV77271,DATA CENTER,WS-10134.,Sai Bedi,Trainee,6.0,0.0,61.166666666666664,3.0,0.0,1.0,33.58333333333333
EMP11717,jatin.saha63,IT,On Leave,Unknown,Not Terminated,manager317,DEV86229,Regional_Office,LPT-11717,Jatin Saha,Consultant,4.0,2.0,42.0,2.0,1.0,0.0,30.0
EMP10642,umang.dhaliwal49,Operations,Active,2024-06-19 20:01:00,Not Terminated,manager821,DEV84964,Warehouse,VDR-10642,Umang Dhaliwal,Director,10.0,2.0,52.9,2.0,0.0,1.0,33.45
