user_id,username,department,status,hire_date,termination_date,manager_username,device_id,location,hostname,full_name,role
EMP12332,shravya.mand51,Human Resources,Terminated,2024-09-30 12:03:44,2026-02-03 11:37:59,unknown,DEV-39132,Regional_Office,Unknown,Shravya Mand,Consultant
EMP10346,dipta_oza8,Legal,Active,2023-08-09 00:03:30,Not Terminated,manager184,DEV 75673,Remote,VDR-10346,Dipta Oza,Officer
EMP10299,anmol.bhatt26,Procurement,Active,2026-03-09 00:00:00,Not Terminated,manager825,DEV 82102,Branch Office,VDR-10299,Anmol Bhatt,Officer
EMP12045,girik.gaba54,Innovation,Active,2022-09-12 21:06:42,Not Terminated,manager735,Unknown,head office,LPT-12045,Girik Gaba,Officer
EMP11295,utkarsh.bakshi57,Legal,Active,2021-07-25 19:18:38,Not Terminated,Unknown,DEV 63026,Head_Office,WS-11295,Utkarsh Bakshi,Analyst
EMP11357,nandini.buch11,Compliance,Active,2026-07-28 12:35:07,Not Terminated,manager284,Unknown,warehouse,LPT-11357,Nandini Buch,Director
EMP11422,rishi.contractor33,Customer Support,Active,2025-06-16 14:41:08,Not Terminated,manager144,DEV 14394,Warehouse,WS-11422,Rishi Contractor,Analyst
EMP12482,chakrika.nagar94,Marketing,Active,2022-07-21 22:31:07,Not Terminated,manager684,DEV-25608,Work_From_Home,WS-12482,Chakrika Nagar,Manager
EMP10139,isaac.dugar28,Legal,Disabled,2023-05-23 19:28:38,2023-10-18 12:32:00,manager420,DEV 54424,Unknown,Unknown,Isaac Dugar,Trainee
EMP12603,gautam.dass68,Finance,Active,2022-08-10 22:55:29,Not Terminated,manager793,DEV 97646,BRANCH OFFICE,LPT-12603,Gautam Dass,Trainee
EMP10246,rohan.dash48,Legal,Disabled,2026-06-25 00:22:00,Not Terminated,Unknown,DEV97044,Data_Center,VDR-10246,Rohan Dash,Officer
EMP10900,lohit.reddy93,Procurement,Active,2023-04-08 02:56:00,Not Terminated,manager666,DEV17956,branch office,VDR-10900,Lohit Reddy,Trainee
EMP12130,krishna.kata74,Customer Support,On Leave,2020-12-13 20:05:49,2024-09-24 00:00:00,unknown,DEV68796,Unknown,VDR-12130,Krishna Kata,Specialist
EMP11681,ayushman.varty42,Sales,Active,2023-07-04 21:58:23,Not Terminated,manager392,DEV 87635,Unknown,VDR-11681,Ayushman Varty,Executive
EMP12334,bahadurjit.sridhar62,Sales,Active,2021-11-04 05:38:50,Not Terminated,unknown,DEV27173,Unknown,WS-12334,Bahadurjit Sridhar,Consultant
EMP10889,chanchal.tank46,Marketing,Active,Unknown,Not Terminated,manager905,Unknown,head office,VDR-10889,Chanchal Tank,Specialist
EMP11268,krishna.babu43,Innovation,Active,2020-03-05 16:57:44,Not Terminated,manager370,DEV72206,HEAD OFFICE,VDR-11268,Krishna Babu,Executive
EMP11926,chatresh.varty75,Finance,Terminated,2021-01-27 19:05:07,2021-04-07 11:53:00,manager721,DEV80651,WAREHOUSE,Unknown,Chatresh Varty,Analyst
EMP11620,ira.choudhury44,R&D,Terminated,2025-09-08 00:00:00,2026-01-17 23:51:00,manager244,DEV68711,WORK FROM HOME,WS-11620,Ira Choudhury,Officer
EMP10700,charles.brar31,Call Center,Active,2020-04-27 15:25:17,Not Terminated,manager821,DEV 85543,Unknown,VDR-10700,Charles Brar,Administrator
EMP11061,ekansh.ahuja25,Marketing,Active,2025-05-31 07:55:55,Not Terminated,manager400,DEV91844,Data_Center,VDR-11061,Ekansh Ahuja,Director
EMP10485,hardik.kuruvilla24,Customer Support,Active,Unknown,Not Terminated,manager457,DEV-30889,Work From Home,VDR-10485,Hardik Kuruvilla,Manager
EMP11356,jeet.tara32,Legal,Active,2022-06-10 00:00:00,Not Terminated,manager220,Unknown,Regional Office,LPT-11356,Jeet Tara,Specialist
EMP12310,zashil.chaudhari74,Operations,Disabled,2021-07-29 21:47:57,2026-08-24 00:00:00,manager905,DEV 21473,Unknown,VDR-12310,Zashil Chaudhari,Specialist
EMP12181,hemal.kohli58,Marketing,Active,2025-04-12 00:00:00,Not Terminated,manager186,DEV 74389,WAREHOUSE,VDR-12181,Hemal Kohli,Officer
EMP10761,dayita.dasgupta48,R&D,Active,2025-11-16 00:00:00,Not Terminated,manager133,DEV 19266,WORK FROM HOME,Unknown,Dayita Dasgupta,Analyst
EMP10746,oviya.acharya25,Human Resources,Active,2025-09-13 01:27:00,Not Terminated,unknown,Unknown,Unknown,WS-10746,Oviya Acharya,Executive
EMP10321,kalpit.mody99,R&D,Active,2024-08-14 08:55:54,Not Terminated,Unknown,DEV 85066,Unknown,LPT-10321,Kalpit Mody,Officer
EMP12707,indira.pant51,Marketing,Active,2024-11-13 12:26:12,Not Terminated,manager574,DEV56397,Regional Office,VDR-12707,Indira Pant,Engineer
EMP10188,wakeeta.srivastava97,Sales,Active,2021-01-21 17:31:44,Not Terminated,Unknown,DEV95948,Unknown,LPT-10188,Wakeeta Srivastava,Administrator
EMP10772,gagan_bhandari75,Operations,Active,2024-08-31 00:47:00,Not Terminated,manager411,DEV 97274,data center,VDR-10772,Gagan Bhandari,Consultant
EMP12496,anusha.bawa86,Supply Chain,Active,2023-02-26 10:56:13,Not Terminated,Unknown,DEV-67414,WAREHOUSE,WS-12496,Anusha Bawa,Trainee
EMP11451,arunima.dube10,Operations,Active,2025-03-05 14:42:50,Not Terminated,manager340,DEV-86864,Regional Office,VDR-11451,Arunima Dube,Trainee
EMP12354,gagan.raman49,Operations,Active,2024-12-01 00:00:00,Not Terminated,manager286,Unknown,branch office,LPT-12354,Gagan Raman,Administrator
EMP10410,onveer.om63,Supply Chain,Active,2021-03-22 22:25:57,Not Terminated,manager797,DEV32570,DATA CENTER,LPT-10410,Onveer Om,Specialist
EMP11727,bhavya.sem13,IT,On Leave,2026-04-23 20:04:58,Not Terminated,unknown,DEV35006,branch office,VDR-11727,Bhavya Sem,Consultant
EMP12852,warinder.wali82,R&D,Terminated,2022-04-19 15:11:56,2025-12-29 01:06:14,manager876,DEV27337,Unknown,LPT-12852,Warinder Wali,Administrator
EMP12216,urvashi.handa11,Customer Support,Terminated,2020-08-14 07:19:06,2023-09-10 00:00:00,manager421,DEV58305,work from home,VDR-12216,Urvashi Handa,Analyst
EMP11398,yauvani_chacko81,Human Resources,Terminated,2024-03-01 00:00:00,2024-07-10 02:35:24,manager731,DEV 37221,Unknown,LPT-11398,Yauvani Chacko,Manager
EMP11361,inaya.sridhar38,Human Resources,Active,2020-11-30 20:02:48,Not Terminated,unknown,DEV-87526,Work From Home,WS-11361,Inaya Sridhar,Consultant
EMP11657,yadavi.balay60,Sales,Active,2026-06-29 18:40:46,Not Terminated,manager852,DEV51446,Unknown,WS-11657,Yadavi Balay,Executive
EMP10051,ekbal.malhotra95,Finance,Active,2022-07-11 09:26:00,Not Terminated,manager869,DEV97012,Unknown,VDR-10051,Ekbal Malhotra,Manager
EMP11624,bishakha_ghose98,Sales,Active,2020-09-12 00:00:00,Not Terminated,manager603,DEV-62984,Unknown,Unknown,Bishakha Ghose,Administrator
EMP10063,ira.tara4,Human Resources,Active,Unknown,Not Terminated,manager565,DEV-33819,branch office,Unknown,Ira Tara,Director
EMP12789,tamanna.kala64,Legal,Active,2021-02-03 00:00:00,Not Terminated,Unknown,DEV80063,Data_Center,VDR-12789,Tamanna Kala,Analyst
EMP12553,tanish.kurian86,IT,Disabled,2024-01-14 02:19:39,Not Terminated,manager123,DEV-68468,Remote,WS-12553,Tanish Kurian,Specialist
EMP12530,wazir.das67,Human Resources,Active,2025-07-18 00:00:00,Not Terminated,manager624,DEV 81876,Unknown,LPT-12530,Wazir Das,Officer
EMP11090,pahal.bajwa31,Legal,On Leave,2025-07-21 04:04:10,Not Terminated,manager894,Unknown,Remote,VDR-11090,Pahal Bajwa,Trainee
EMP11465,brinda.chauhan94,Customer Support,Active,2020-04-28 22:54:00,Not Terminated,manager841,DEV20031,Data Center,LPT-11465,Brinda Chauhan,Specialist
EMP11896,urmi.pall82,Finance,Terminated,2025-08-19 16:55:56,2026-02-25 13:56:11,unknown,Unknown,Data Center,WS-11896,Urmi Pall,Engineer
EMP10052,anirudh.ramanathan31,Marketing,Active,2022-01-30 16:46:59,Not Terminated,unknown,DEV 29313,Unknown,LPT-10052,Anirudh Ramanathan,Engineer
EMP12807,damyanti.wali52,Sales,Active,2023-06-06 22:34:43,Not Terminated,manager565,DEV 24606,Regional Office,LPT-12807,Damyanti Wali,Executive
EMP12763,sanaya.kale52,Marketing,Active,2026-02-05 04:10:52,Not Terminated,manager610,DEV25578,Warehouse,LPT-12763,Sanaya Kale,Officer
EMP12551,warinder.jaggi19,Sales,Active,2020-10-15 00:00:00,Not Terminated,manager115,DEV 34073,REMOTE,LPT-12551,Warinder Jaggi,Administrator
EMP12864,pooja.choudhary68,Marketing,Active,Unknown,Not Terminated,manager864,DEV93489,Remote,LPT-12864,Pooja Choudhary,Trainee
EMP10544,harita.sura62,Human Resources,Disabled,2021-11-15 16:53:49,2023-10-31 01:43:49,Unknown,DEV 93055,Head Office,WS-10544,Harita Sura,Administrator
EMP12948,aadi.mohan96,Operations,Disabled,2022-04-22 00:00:00,2024-06-25 00:00:00,unknown,DEV-37300,Head Office,VDR-12948.,Aadi Mohan,Consultant
EMP10450,charles.mohanty2,Finance,On Leave,Unknown,Not Terminated,Unknown,Unknown,Remote,WS-10450,Charles Mohanty,Executive
EMP12515,onveer.wason58,Sales,Disabled,2022-01-13 19:36:00,2023-08-14 12:06:35,manager908,DEV60572,Unknown,WS-12515.,Onveer Wason,Manager
EMP10044,gopal.lala36,Human Resources,Active,2024-07-23 23:08:34,Not Terminated,manager128,DEV 76768,Unknown,VDR-10044,Gopal Lala,Administrator
EMP11001,aarush.prashad25,Procurement,Terminated,2020-01-27 12:19:55,2022-06-21 04:14:18,Unknown,DEV 81188,WORK FROM HOME,VDR-11001,Aarush Prashad,Executive
EMP11831,Unknown,Supply Chain,Active,2022-10-16 12:54:27,Not Terminated,unknown,DEV-66868,BRANCH OFFICE,LPT-11831,Chaaya Vasa,Engineer
EMP10829,chaman.goda59,Legal,Active,2023-12-30 07:21:46,Not Terminated,manager424,DEV-44946,Warehouse,WS-10829,Chaman Goda,Specialist
EMP10598,ekalinga.walla33,IT,Active,2021-10-10 00:00:00,Not Terminated,manager952,Unknown,Branch Office,VDR-10598,Ekalinga Walla,Consultant
EMP10408,akshay.sarraf2,Procurement,Active,2021-04-05 10:34:24,Not Terminated,manager696,DEV 24748,Warehouse,WS-10408.,Akshay Sarraf,Specialist
EMP12917,charita.mannan95,Sales,Active,Unknown,Not Terminated,manager621,DEV 46720,Remote,VDR-12917,Charita Mannan,Officer
EMP10256,naveen.bhagat32,R&D,Terminated,Unknown,2026-03-08 19:50:49,unknown,Unknown,BRANCH OFFICE,WS-10256,Naveen Bhagat,Consultant
EMP12028,neha_devan64,Supply Chain,Active,2025-04-21 14:03:42,Not Terminated,manager546,DEV81037,data center,WS-12028,Neha Devan,Officer
EMP12303,lila_srinivasan31,Finance,Active,Unknown,Not Terminated,manager330,DEV-57924,Unknown,LPT-12303,Lila Srinivasan,Administrator
EMP11837,qabil.parikh37,Sales,Active,Unknown,Not Terminated,Unknown,DEV54054,WORK FROM HOME,LPT-11837,Qabil Parikh,Specialist
EMP11702,hemang.bakshi78,Customer Support,On Leave,2025-01-30 15:19:49,Not Terminated,manager402,Unknown,Work_From_Home,VDR-11702,Hemang Bakshi,Engineer
EMP12490,laban.sridhar64,Human Resources,Terminated,2025-01-14 19:14:46,2026-04-17 04:12:42,unknown,Unknown,data center,VDR-12490,Laban Sridhar,Trainee
EMP11662,aishani.dugal36,Sales,Active,2020-05-02 08:15:44,Not Terminated,manager490,DEV68314,regional office,Unknown,Aishani Dugal,Manager
EMP10144,yashica_rao48,Human Resources,Disabled,Unknown,2026-07-14 21:05:34,manager773,Unknown,WAREHOUSE,LPT-10144,Yashica Rao,Administrator
EMP12090,vasatika.saha98,R&D,Active,2024-11-11 18:45:00,Not Terminated,manager489,DEV38061,branch office,VDR-12090,Vasatika Saha,Engineer
EMP11292,harsh.sem7,Sales,Active,2025-09-30 06:24:33,Not Terminated,manager258,DEV74920,Branch Office,VDR-11292,Harsh Sem,Officer
EMP12155,ekansh.soni57,Marketing,Disabled,Unknown,2026-02-18 14:53:11,manager371,DEV39684,Unknown,Unknown,Ekansh Soni,Director
EMP10416,arunima.tata4,Finance,Active,2023-11-19 03:16:47,Not Terminated,manager469,DEV-17553,Work From Home,LPT-10416,Arunima Tata,Engineer
EMP10929,aarini.bora51,Marketing,On Leave,2025-11-10 16:53:42,Not Terminated,Unknown,DEV65498,DATA CENTER,VDR-10929,Aarini Bora,Specialist
EMP12022,Unknown,Operations,Active,2024-08-11 00:00:00,Not Terminated,manager836,DEV 40120,warehouse,VDR-12022,Zayyan Dayal,Analyst
EMP10170,nathaniel_prakash13,Customer Support,Active,2022-11-12 06:58:17,Not Terminated,unknown,DEV 79013,work from home,VDR-10170,Nathaniel Prakash,Officer
EMP11125,indali.aggarwal48,Marketing,Disabled,2020-12-03 16:53:08,Not Terminated,manager549,DEV 80310,Data_Center,LPT-11125,Indali Aggarwal,Consultant
EMP10567,upadhriti.krishnan99,Legal,Active,2021-04-27 10:05:44,Not Terminated,manager499,DEV23622,work from home,LPT-10567,Upadhriti Krishnan,Officer
EMP11590,mahika.som71,Operations,Disabled,2020-10-03 02:35:12,2025-12-31 04:54:19,manager924,DEV32551,WORK FROM HOME,WS-11590,Mahika Som,Director
EMP12673,victor.nagar6,Finance,Disabled,Unknown,2022-06-06 09:29:39,unknown,Unknown,REGIONAL OFFICE,WS-12673,Victor Nagar,Consultant
EMP10134,sai.bedi96,Human Resources,Active,2023-11-05 07:58:01,Not Terminated,manager729,DEV77271,DATA CENTER,WS-10134.,Sai Bedi,Trainee
EMP11717,jatin.saha63,IT,On Leave,Unknown,Not Terminated,manager317,DEV86229,Regional_Office,LPT-11717,Jatin Saha,Consultant
EMP10642,umang.dhaliwal49,Operations,Active,2024-06-19 20:01:00,Not Terminated,manager821,DEV84964,Warehouse,VDR-10642,Umang Dhaliwal,Director
EMP11689,vaishnavi.kant81,Finance,Disabled,2025-08-18 01:18:07,Not Terminated,manager288,DEV-66935,REMOTE,LPT-11689,Vaishnavi Kant,Director
EMP12745,prisha.sarkar30,Customer Support,Disabled,2020-06-17 17:09:43,2026-05-13 00:00:00,manager858,Unknown,Regional Office,Unknown,Prisha Sarkar,Officer
EMP10554,shaurya.talwar44,Operations,Active,2026-05-25 23:46:53,Not Terminated,manager974,DEV37594,Data_Center,WS-10554,Shaurya Talwar,Executive
EMP12174,onveer.bansal17,Sales,Terminated,2023-01-18 09:37:31,2026-05-22 18:40:00,Unknown,DEV-88056,Unknown,VDR-12174,Onveer Bansal,Manager
EMP11538,jai.chanda34,Sales,Active,2025-08-29 07:57:34,Not Terminated,manager941,DEV79778,Unknown,WS-11538,Jai Chanda,Specialist
EMP10999,yoshita.raval66,Customer Support,Active,2020-08-09 00:00:00,Not Terminated,manager659,DEV 39850,Unknown,Unknown,Yoshita Raval,Manager
EMP10291,upasna_krishnamurthy12,Finance,Active,2020-11-16 00:00:00,Not Terminated,manager462,DEV82710,Data Center,VDR-10291,Upasna Krishnamurthy,Director
EMP11338,vansha_virk36,Marketing,Active,2023-05-10 23:35:55,Not Terminated,manager380,Unknown,Branch Office,VDR-11338,Vansha Virk,Manager
EMP12247,tanish.dasgupta22,IT Support,Terminated,Unknown,2026-08-24 03:17:58,manager185,DEV-58621,Unknown,VDR-12247.,Tanish Dasgupta,Director
EMP10781,Unknown,Innovation,Active,2021-08-29 00:00:00,Not Terminated,manager327,DEV17213,Head Office,WS-10781,Rohan Wali,Consultant
EMP10443,tejas.raghavan27,IT,Active,2022-04-18 00:00:00,Not Terminated,manager817,DEV-23235,DATA CENTER,VDR-10443,Tejas Raghavan,Administrator
EMP12601,dominic.bawa78,Operations,Disabled,2020-02-23 00:00:00,Not Terminated,manager383,DEV85344,Unknown,WS-12601,Dominic Bawa,Executive
EMP12149,teerth.chowdhury93,Legal,Active,2022-03-01 17:49:47,Not Terminated,manager623,DEV42587,Unknown,LPT-12149,Teerth Chowdhury,Analyst
EMP10449,jagvi.sengupta38,Operations,Active,Unknown,Not Terminated,Unknown,Unknown,Data Center,VDR-10449.,Jagvi Sengupta,Consultant
EMP11029,Unknown,Human Resources,Active,2020-11-30 13:29:17,Not Terminated,Unknown,Unknown,REGIONAL OFFICE,LPT-11029,Gaurangi Kibe,Executive
EMP11992,raksha.saini25,Marketing,Active,2026-07-30 01:51:31,Not Terminated,manager621,DEV-41536,Warehouse,LPT-11992,Raksha Saini,Director
EMP12403,andrew.vasa6,Sales,Disabled,2026-04-26 00:00:00,2026-05-10 23:48:30,manager150,DEV 64516,Regional_Office,Unknown,Andrew Vasa,Consultant
EMP12750,darika.parekh27,IT,Active,2020-07-22 18:44:38,Not Terminated,manager511,DEV 14121,Unknown,VDR-12750,Darika Parekh,Officer
EMP10000,vrinda.dua82,Human Resources,Active,2026-04-07 00:00:00,Not Terminated,manager858,DEV-42098,REGIONAL OFFICE,WS-10000,Vrinda Dua,Analyst
EMP11048,quincy.lata26,Finance,Active,2023-03-08 18:41:06,Not Terminated,manager525,Unknown,Head Office,LPT-11048,Quincy Lata,Engineer
EMP10270,upkaar.doshi48,Operations,Active,2020-02-20 09:26:36,Not Terminated,manager698,DEV39002,Head_Office,VDR-10270,Upkaar Doshi,Director
EMP10736,jackson.cherian13,R&D,Disabled,2020-11-26 08:37:44,Not Terminated,Unknown,DEV18383,branch office,VDR-10736,Jackson Cherian,Specialist
EMP10298,aradhana.yogi41,Marketing,Active,2023-05-05 19:22:01,Not Terminated,manager677,Unknown,warehouse,LPT-10298,Aradhana Yogi,Trainee
EMP10032,lila.nadkarni27,Operations,Active,2022-07-21 01:24:12,Not Terminated,manager869,DEV 27154,Remote,WS-10032,Lila Nadkarni,Engineer
EMP12498,lekha.kapoor10,Innovation,Active,2025-08-20 13:08:32,Not Terminated,Unknown,DEV80623,Data_Center,VDR-12498,Lekha Kapoor,Specialist
EMP10014,ridhi.saini2,Human Resources,Active,2022-06-30 00:00:00,Not Terminated,manager564,DEV94012,work from home,WS-10014,Ridhi Saini,Officer
EMP10093,pahal.roy74,Procurement,Active,2026-06-28 21:31:52,Not Terminated,Unknown,DEV 45325,Work From Home,VDR-10093.,Pahal Roy,Analyst
EMP10411,shivani.pillay89,Legal,Active,2024-01-16 10:50:11,Not Terminated,Unknown,DEV41139,DATA CENTER,WS-10411,Shivani Pillay,Analyst
EMP11159,adya.shetty2,Human Resources,Active,Unknown,Not Terminated,unknown,Unknown,Regional_Office,WS-11159,Adya Shetty,Officer
EMP12362,kamala.nazareth82,Procurement,Active,2021-10-01 16:10:14,Not Terminated,manager479,DEV 59827,Branch Office,VDR-12362,Kamala Nazareth,Consultant
EMP12819,chakradhar.nagi26,R&D,Active,2020-12-14 07:49:07,Not Terminated,manager944,DEV88309,WAREHOUSE,WS-12819,Chakradhar Nagi,Consultant
EMP10149,girik.bhatia28,Customer Support,Active,2025-10-08 23:36:07,Not Terminated,manager639,DEV24534,Remote,WS-10149,Girik Bhatia,Manager
EMP11600,gagan.mitter67,Procurement,Active,2026-04-01 18:47:00,Not Terminated,Unknown,DEV 60738,Regional_Office,VDR-11600,Gagan Mitter,Director
EMP11044,mugdha.khare82,Sales,On Leave,2023-01-22 04:22:20,Not Terminated,manager271,DEV20487,WORK FROM HOME,WS-11044,Mugdha Khare,Administrator
EMP12153,abdul.deep62,Human Resources,Active,2024-11-15 23:28:00,Not Terminated,Unknown,Unknown,branch office,VDR-12153,Abdul Deep,Officer
EMP10495,tanmayi.thaman1,Procurement,Active,2020-08-13 12:39:41,Not Terminated,manager614,DEV86756,work from home,VDR-10495,Tanmayi Thaman,Manager
EMP10332,Unknown,Procurement,Active,2020-05-22 17:45:11,Not Terminated,manager902,DEV 99463,Work_From_Home,WS-10332,Ijaya Palla,Trainee
EMP12788,utkarsh.vora38,Marketing,Active,2020-01-01 00:00:00,Not Terminated,Unknown,DEV 47566,Work_From_Home,WS-12788,Utkarsh Vora,Administrator
EMP12066,david.sampath85,Customer Support,Active,2021-07-18 08:59:32,Not Terminated,manager223,DEV61445,regional office,LPT-12066,David Sampath,Engineer
EMP11874,dayita.rout5,R&D,Active,Unknown,Not Terminated,Unknown,DEV 56585,Unknown,VDR-11874.,Dayita Rout,Engineer
EMP10756,mugdha.shah75,Sales,Active,2020-05-17 09:35:43,Not Terminated,manager581,DEV 10665,Unknown,VDR-10756,Mugdha Shah,Specialist
EMP10798,udarsh.korpal53,Operations,Active,2021-08-08 09:22:24,Not Terminated,Unknown,DEV 30257,Unknown,LPT-10798,Udarsh Korpal,Executive
EMP12274,praneel.sastry13,Supply Chain,Blocked,2024-10-06 14:04:00,2026-07-09 23:05:36,manager802,DEV-78738,Head Office,WS-12274,Praneel Sastry,Executive
EMP10203,samaksh.subramanian60,Call Center,Active,2026-07-13 09:56:00,Not Terminated,Unknown,Unknown,Branch Office,VDR-10203,Samaksh Subramanian,Consultant
EMP10463,isha.padmanabhan86,Innovation,Disabled,2022-10-28 09:40:22,2025-06-17 03:55:28,manager833,DEV39218,Unknown,LPT-10463,Isha Padmanabhan,Consultant
EMP12851,kamala.raman22,Supply Chain,Active,2020-09-20 12:12:57,Not Terminated,manager138,DEV27730,Work_From_Home,WS-12851.,Kamala Raman,Officer
EMP12749,darika.mandal6,Human Resources,Active,2022-07-15 22:07:37,Not Terminated,manager149,DEV 30457,Unknown,VDR-12749,Darika Mandal,Trainee
EMP11583,hemang.bansal35,Human Resources,Active,2024-05-31 08:58:00,Not Terminated,Unknown,DEV84136,Warehouse,VDR-11583,Hemang Bansal,Trainee
EMP10555,vrishti.lala52,Marketing,On Leave,2025-11-01 00:00:00,Not Terminated,manager202,DEV-27188,Branch Office,VDR-10555,Vrishti Lala,Trainee
